,Dim 1,Dim 2
Voted_Leave,-0.241092611,-0.027133547
Voted_Remain,0.169011515,-0.101000676
Voted_No_Vote,0.081373433,0.139574571
Scottish independence,0.198756548,0.075336661
Health,0.048482456,-0.06433401
Education,-0.131508178,-0.109298514
The economy,-0.041091355,-0.085649426
The environment,0.211589407,-0.003142848
Britain leaving the EU,0.323561853,-0.007160397
Housing,-0.00029277,0.192993863
Immigration,-0.404131145,0.132013594
Crime,-0.43300677,0.018737219
Tax & pensions,-0.081664923,0.164062857
Employment & welfare,0.020412839,0.026661238
Transport,-0.256643783,-0.06291765
Defence & security,-0.341295498,-0.013998986
Family life,-0.037279113,0.278080697
